attraction,lat,long,rating
Basilica of the Sagrada Familia,41.403591,2.17436,4
Casa Batllo,41.391712,2.164824,4
Palau de la Musica Orfeo Catala,41.387573,2.175302,4
Gothic Quarter (Barri Gotic),41.382702,2.177113,4
Camp Nou,41.380978,2.122884,4
Mercat de Sant Josep de la Boqueria,41.382011,2.172011,4
The Basilica of Santa Maria del Mar,41.383888,2.182071,4
La Pedrera,41.395378,2.161961,4
Palau Guell,41.378883,2.17424,4
Park Guell,41.414509,2.152709,4
Sant Pau Recinte Modernista,41.411419,2.174328,4
Museu Nacional d'Art de Catalunya - MNAC,41.368355,2.153639,4
Passeig de Gracia,41.395844,2.159807,4
CosmoCaixa Barcelona,41.412971,2.131551,4
El Born,41.384716,2.182959,4
Catedral de Barcelona,41.383961,2.176199,4
Parc de la Ciutadella,41.389084,2.186227,4
Tibidabo,41.421638,2.119897,4
Ciutat Vella,41.384663,2.175134,4
Parc de Montjuic,41.364548,2.165427,4
Placa Espanya,41.375469,2.150725,4
Templo del Sagrado Corazon de Jesus,41.421597,2.120317,4
Fundacio Joan Miro,41.368629,2.159851,4
Museu d'Historia de Barcelona - MUHBA,41.384151,2.17749,4
Placa Sant Felip Neri,41.383366,2.175063,4
Barri de Gracia,41.402206,2.160194,4
Museo Picasso,41.385216,2.180893,4
Museu del Futbol Club Barcelona,41.380997,2.122833,4
Placa Reial,41.38023,2.175183,4
Barceloneta Beach,41.380894,2.189385,4
Reial Monestir de Santa Maria de Pedralbes,41.395775,2.112619,4
Casa Lleo i Morera,41.391178,2.165515,4
Las Ramblas,41.380318,2.17422,4
Palau Dalmases,41.384594,2.181653,4
El Puerto de Barcelona,41.375675,2.179886,4
Casa Amatller,41.391727,2.165177,4
Plaza de Cataluna,41.387352,2.169939,4
Hash Marihuana & Hemp Museum,41.380825,2.180192,4
La Barceloneta,41.380344,2.189491,4
Gran Teatre del Liceu,41.38089,2.17366,4
Parque del Laberinto de Horta,41.439835,2.146275,4
Museo d'Historia de Catalunya,41.38068,2.185988,4
CaixaForum,41.371464,2.149884,4
Port Vell,41.380608,2.178153,4
Pabellon Mies van der Rohe,41.370827,2.150172,4
Arc de Triomf,41.392471,2.181362,4
La Maquinista,41.440411,2.19851,4
Mercat de la Barceloneta,41.382004,2.172058,4
Montjuic Castle,41.362961,2.165064,4
Rambla del Mar,41.375854,2.179365,4
L'Eixample District,41.395596,2.161088,4
Cascada Monumental,41.389355,2.186586,4
Rambla de Catalunya,41.38184,2.172333,4
Basilica de Santa Maria del Pi,41.38216,2.173956,4
Monumento a Cristoforo Colombo,41.375751,2.177805,4
Mercado de San Antonio,41.382,2.171999,4
El Born Centre de Cultura i Memoria,41.385872,2.183775,4
Bogatell Beach,41.39323,2.206538,4
Erotic Museum of Barcelona (Museu de l'Erotica),41.382191,2.172433,4
Stadio Olimpico,41.366322,2.155441,4
Tibidabo Amusement Park,41.421623,2.120159,4
Teleferic de Montjuic,41.367786,2.166805,4
Barcelona Zoo,41.386333,2.189857,4
Placa del Rei,41.383945,2.177163,4
Museu Europeu d'art Modern - MEAM,41.385071,2.180461,4
Maremagnum,41.375156,2.182773,4
Torre Agbar,41.403332,2.189444,4
Anella Olimpica,41.366268,2.153547,4
L’Aquarium de Barcelona,41.37685,2.184366,3
Museu Maritim,41.375793,2.175513,3
Museu de la Catedral,41.384472,2.175897,4
The Gaudi Exhibition Center,41.384514,2.175977,4
L'illa Diagonal,41.389259,2.134813,4
Gaudi House Museum,41.413155,2.15293,4
La Basilica Galeria,41.390347,2.168145,4
"Cat, Fernando Botero",41.378109,2.169838,4
Nova Mar Bella Beach,41.402241,2.212107,4
El Corte Ingles,41.387909,2.170916,4
Sant Pau del Camp,41.376358,2.169221,4
Passeig del Born,41.384556,2.181823,4
Port Olimpic,41.387352,2.198217,4
El Poblenou,41.399166,2.203889,4
Palau Nacional,41.38583,2.16792,4
Poble Espanyol,41.368809,2.148273,3
